"Date","Price","Open","High","Low","Vol.","Change %"
"25/07/2025","6,388.64","6,370.01","6,395.82","6,368.53","","0.40%"
"24/07/2025","6,363.35","6,368.60","6,381.31","6,360.57","","0.07%"
"23/07/2025","6,358.91","6,326.90","6,360.64","6,317.49","","0.78%"
"22/07/2025","6,309.62","6,306.60","6,316.12","6,281.71","","0.06%"
"21/07/2025","6,305.60","6,304.74","6,336.08","6,303.79","","0.14%"
"18/07/2025","6,296.79","6,312.95","6,315.61","6,285.27","","-0.01%"
"17/07/2025","6,297.36","6,263.40","6,304.69","6,262.27","","0.54%"
"16/07/2025","6,263.70","6,254.50","6,268.12","6,201.59","","0.32%"
"15/07/2025","6,243.76","6,295.29","6,302.04","6,241.68","","-0.40%"
"14/07/2025","6,268.56","6,255.15","6,273.31","6,239.22","","0.14%"
"11/07/2025","6,259.75","6,255.68","6,269.44","6,237.60","","-0.33%"
"10/07/2025","6,280.46","6,266.80","6,290.22","6,251.44","","0.27%"
"09/07/2025","6,263.26","6,243.33","6,269.16","6,231.43","","0.61%"
"08/07/2025","6,225.52","6,234.03","6,242.70","6,217.75","","-0.07%"
"07/07/2025","6,229.98","6,259.04","6,262.07","6,201.00","","-0.79%"
"03/07/2025","6,279.35","6,246.46","6,284.65","6,246.46","","0.83%"
"02/07/2025","6,227.42","6,193.88","6,227.60","6,188.29","","0.47%"
"01/07/2025","6,198.01","6,187.25","6,210.78","6,177.97","","-0.11%"
"30/06/2025","6,204.95","6,193.36","6,215.08","6,174.97","","0.52%"
"27/06/2025","6,173.07","6,150.70","6,187.68","6,132.35","","0.52%"
"26/06/2025","6,141.02","6,112.09","6,146.52","6,107.27","","0.80%"
"25/06/2025","6,092.16","6,104.23","6,108.51","6,080.09","","0.00%"
"24/06/2025","6,092.18","6,061.21","6,101.76","6,059.25","","1.11%"
"23/06/2025","6,025.17","5,969.67","6,028.77","5,943.23","","0.96%"
"20/06/2025","5,967.84","5,999.67","6,018.20","5,952.56","","-0.22%"
"18/06/2025","5,980.87","5,987.93","6,018.25","5,971.89","","-0.03%"
"17/06/2025","5,982.72","6,012.15","6,023.25","5,974.80","","-0.84%"
"16/06/2025","6,033.11","6,004.00","6,050.83","6,004.00","","0.94%"
"13/06/2025","5,976.97","6,000.56","6,026.16","5,963.21","","-1.13%"
"12/06/2025","6,045.26","6,009.90","6,045.43","6,003.88","","0.38%"
"11/06/2025","6,022.24","6,049.38","6,059.40","6,002.32","","-0.27%"
"10/06/2025","6,038.81","6,009.91","6,043.01","6,000.28","","0.55%"
"09/06/2025","6,005.88","6,004.63","6,021.31","5,994.18","","0.09%"
"06/06/2025","6,000.36","5,987.06","6,016.87","5,978.63","","1.03%"
"05/06/2025","5,939.30","5,985.67","5,999.70","5,921.20","","-0.53%"
"04/06/2025","5,970.81","5,978.94","5,990.48","5,966.11","","0.01%"
"03/06/2025","5,970.37","5,938.56","5,981.35","5,929.00","","0.58%"
"02/06/2025","5,935.94","5,896.68","5,937.40","5,861.43","","0.41%"
"30/05/2025","5,911.69","5,903.67","5,922.14","5,843.66","","-0.01%"
"29/05/2025","5,912.17","5,939.96","5,943.13","5,873.80","","0.40%"
"28/05/2025","5,888.55","5,925.54","5,939.92","5,881.88","","-0.56%"
"27/05/2025","5,921.54","5,854.07","5,924.33","5,854.07","","2.05%"
"23/05/2025","5,802.82","5,781.89","5,829.51","5,767.41","","-0.67%"
"22/05/2025","5,842.01","5,841.26","5,878.08","5,825.82","","-0.04%"
"21/05/2025","5,844.61","5,910.18","5,938.37","5,830.91","","-1.61%"
"20/05/2025","5,940.46","5,944.66","5,953.06","5,909.26","","-0.39%"
"19/05/2025","5,963.60","5,902.88","5,968.61","5,895.69","","0.09%"
"16/05/2025","5,958.38","5,929.09","5,958.62","5,907.36","","0.70%"
"15/05/2025","5,916.93","5,869.82","5,924.21","5,865.16","","0.41%"
"14/05/2025","5,892.58","5,896.74","5,906.55","5,872.11","","0.10%"
"13/05/2025","5,886.55","5,854.15","5,906.64","5,845.02","","0.72%"
"12/05/2025","5,844.19","5,807.20","5,845.37","5,786.08","","3.26%"
"09/05/2025","5,659.91","5,679.65","5,691.69","5,644.15","","-0.07%"
"08/05/2025","5,663.94","5,663.60","5,720.10","5,635.38","","0.58%"
